"state","period_start","period_end","duration"
"Active","2021-03-18 06:37:10+01","2021-03-18 06:37:13+01","00:00:03"
"Intermediate","2021-03-18 06:37:13+01","2021-03-18 06:37:16+01","00:00:03"
"Active","2021-03-18 06:37:16+01","2021-03-18 06:37:19+01","00:00:03"
"Intermediate","2021-03-18 06:37:19+01","2021-03-18 06:37:20+01","00:00:01"
"Active","2021-03-18 06:37:20+01","2021-03-18 06:37:23+01","00:00:03"
"Intermediate","2021-03-18 06:37:23+01","2021-03-18 06:37:24+01","00:00:01"
"Active","2021-03-18 06:37:24+01","2021-03-18 06:37:28+01","00:00:04"
"Intermediate","2021-03-18 06:37:28+01","2021-03-18 06:37:29+01","00:00:01"
"Active","2021-03-18 06:37:29+01","2021-03-18 06:37:31+01","00:00:02"
"Intermediate","2021-03-18 06:37:31+01","2021-03-18 06:37:34+01","00:00:03"
"Active","2021-03-18 06:37:34+01","2021-03-18 06:37:35+01","00:00:01"
"Intermediate","2021-03-18 06:37:35+01","2021-03-18 06:37:43+01","00:00:08"
"Active","2021-03-18 06:37:43+01","2021-03-18 06:37:46+01","00:00:03"
"Intermediate","2021-03-18 06:37:46+01","2021-03-18 06:37:49+01","00:00:03"
"Active","2021-03-18 06:37:49+01","2021-03-18 06:37:50+01","00:00:01"
"Intermediate","2021-03-18 06:37:50+01","2021-03-18 06:37:52+01","00:00:02"
"Active","2021-03-18 06:37:52+01","2021-03-18 06:37:53+01","00:00:01"
"Intermediate","2021-03-18 06:37:53+01","2021-03-18 06:37:54+01","00:00:01"
"Active","2021-03-18 06:37:54+01","2021-03-18 06:38:03+01","00:00:09"
"Intermediate","2021-03-18 06:38:03+01","2021-03-18 06:38:05+01","00:00:02"
"Active","2021-03-18 06:38:05+01","2021-03-18 06:38:07+01","00:00:02"
"Intermediate","2021-03-18 06:38:07+01","2021-03-18 06:38:08+01","00:00:01"
"Active","2021-03-18 06:38:08+01","2021-03-18 06:38:09+01","00:00:01"
"Intermediate","2021-03-18 06:38:09+01","2021-03-18 06:38:14+01","00:00:05"
"Active","2021-03-18 06:38:14+01","2021-03-18 06:38:18+01","00:00:04"
